Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
NC1,,09/27/2007,10:30 AM,Dry,22.9,22.7,22,,,22.9,23.1,,,,,,,,,,,,,,,,,,,,0.2,NW,4,S,1,4.27,3.66,3,7.2,7.26,,,,,56,44,,,12,8,0.382,,0.496,,0.175,,1.67,,2.73,,0.301,,7,8,6.83,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC2,,10/21/2009,10:55 AM,Dry,14.1,14.12,20,3,16,22.67,23.33,2.84,2.92,4.87,5.39,54.51,60.62,,,16.66,17.17,6.1586,7.4131,8.42,8.52,1454.2,48.27,4.45,36.129,29.937,WEAK,E,CALM,,1,5.36,5.26,6.5,7.22,7.24,,,E,E,36,60,E,E,48,24,0.578,,0.646,,0.136,,0.942,,2.89,,0.168,,4,4.8,13.3,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,09/20/2016,9:22 AM,Wet,23.78,24.02,17.0,3,13,22.66,24.28,3.5,3.8,2.25,0.71,30.3,9.6,67.9,71.9,14.39,15.54,6.83,4.30,7.24,7.21,461,235,5,250.16,268.49,WEAK,W,4.0,NE,1,2.58,1.62,2.0,7.15,7.12,,,,,"40,000","65,000",,,"9,000",11000,0.128,,0.626,,0.289,,1.340,,3.168,3.178,0.458,,6,6,12.00,,,,,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration off; reddish brown water;  low DO readings.,-73.931556,40.714961,Permanent
NC1,,06/24/2009,10:28 AM,Dry,21.49,18.6,23,3,20,13.88,19.86,2.14,2.79,6.77,0.2,83.18,2.4,,,8.37,13.58,73.5923,4.0799,7.3,7.07,689.36,23.46,0,-24.791,-21.136,WEAK,N,2,N,1,2.32,2.64,1.5,7,7.05,,,,,168,166,E,E,68,64,0.139,,0.503,,0.151,,1.39,,0.754,,0.306,,7,9,39.8,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC2,,06/18/2014,10:07 AM,Dry,20.72,20.11,18,3,12,19.89,20.19,2.92,2.93,10.05,5.53,126.16,68.57,24.2,76.37,13.1,13.48,24.4839,9.7361,,,1771.9,3016.5,6.28,183.769,179.323,0.2,E,7,W,1,10.37,9.09,2,7.82,7.83,,,,,47,80,E,E,24,8,0.233,,0.098,,0.098,,1.166,,2.28,2.26,0.349,,13,11,158,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,Brown Water,-73.935500,40.728833,Permanent
NC3,,09/27/2006,10:29 AM,Dry,20.38,20.56,24,3,21,22.06,23.06,3.19,3.33,5.72,4.48,72.29,57.16,,,14.83,15.54,,,,,,,,48.275,61.859,0.2,SE,CALM,CALM,1,5.41,4.41,3,7.26,7.25,,,,,92,55,,,22,10,0.508,,0.446,,0.133,,2.09,,1.7,,0.22,,9,12.2,24.64,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC1,,01/07/2015,10:03 AM,Dry,3.35,4.1,20,3,20,19.14,18.78,1.84,1.85,8.42,8.83,71.77,76.83,75.97,80.94,15.23,14.9,1.0565,2.8981,,,1497.8,364.87,8.39,97.175,97.697,hwslk,,11,W,1,7.28,7.23,4.5,7.4,7.33,,,,,780,370,,,300,220,0.498,,0.62,,0.102,,1.05,,3.45,3.358,0.154,,8,5,1.65,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC1,,08/09/2007,10:55 AM,Wet,24.39,24.51,19,4,16,19.94,23.43,3.16,3.67,0.2,0.42,2.7,5.72,,,12.18,14.76,11.844,4.166,,,1779.75,140.81,0,,,0.2,S,9,NE,1,0.36,0.45,2,7.04,6.98,,,,,4,4,,,2280,1920,0.061,,0.816,,0.257,,1.65,,2.31,,0.368,,12.5,10,10.4,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC1,,06/16/2010,10:44 AM,Dry,19.51,18.32,21,3,20,22.55,23.19,3.19,3.19,5.65,2.47,70.39,30.25,54.65,76.07,15.41,16.17,37.9315,12.7769,7.78,7.3,1681.5,92.32,0,154.595,162.512,0.2,N,9,S,1,4.91,3.52,3,7.45,7.2,,,,,92,83,E,E,16,28,0.214,,0.188,,0.106,,0.662,,1.88,,0.264,,5.2,10,19.6,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC1,,08/24/2016,9:19 AM,Dry,25.19,25.26,18.0,3,14,24.20,24.56,3.8,3.9,8.50,4.10,118.4,57.3,44.5,60.7,15.14,15.40,34.28,23.61,7.81,7.39,2050,885,7,223.26,219.06,1.5,NW,3.0,W,1,7.08,6.79,2.0,7.58,7.58,,,,,"1,191","2,000",E,E,16,20,0.229,,,,0.145,,,,2.665,2.659,0.330,,29,23,137.00,,,,,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,Dark brown water. Aeration on.  Ammonia result > TKN result - both analysis were repeated and confirmed. As a result  both results are questionable.,-73.927040,40.724545,Permanent
NC2,,12/03/2013,10:42 AM,Dry,7.9,7.8,18,3,17,23.18,24.04,2.49,2.56,7.11,8.25,69.65,81.12,6.87,4.41,18.02,18.7,23.6875,20.2536,7.59,7.66,1638.6,987.82,40.31,84.267,82.844,0.3,W,calm,,1,7.32,7.54,6,7.57,7.57,,,,,6,14,E,E,16,12,0.53,,0.457,,0.15,,0.495,,2.65,,0.185,,4,5,1.6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
