licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
TAN BOON CHYE,YR201154002,YISHUN RING RD BLK 105 Stall No 01-154,B,na,na,na
SEAH SIEW GEOK,YR201153002,YISHUN RING RD BLK 105 Stall No 01-153,B,na,na,na
CHUA CHENG THIENG,YR201152007,YISHUN RING RD BLK 105 Stall No 01-152,B,na,na,na
TEO BOON BIN,YR201151003,YISHUN RING RD BLK 105 Stall No 01-151,B,na,na,na
TAN KOK SIANG,YR201150002,YISHUN RING RD BLK 105 Stall No 01-150,B,na,na,na
LIM YU XUAN ( LIN YUXUAN),YR201149002,YISHUN RING RD BLK 105 Stall No 01-149,B,na,na,na
TAN HOE LIANG,YR201148002,YISHUN RING RD BLK 105 Stall No 01-148,B,na,na,na
TAN KIAT HOY,YR201147002,YISHUN RING RD BLK 105 Stall No 01-147,B,na,na,na
SIM KOK WAH,YR201146002,YISHUN RING RD BLK 105 Stall No 01-146,B,na,na,na
LEE KEE KEE,YR201145005,YISHUN RING RD BLK 105 Stall No 01-145,B,na,na,na
TAY YEOW CHUN,YR201144002,YISHUN RING RD BLK 105 Stall No 01-144,B,na,na,na
SOH CHOI CHU,YR201143005,YISHUN RING RD BLK 105 Stall No 01-143,A,na,na,na
TAN KAI HUI,YR201142002,YISHUN RING RD BLK 105 Stall No 01-142,A,na,na,na
TOK THIAM BOON,YR201141002,YISHUN RING RD BLK 105 Stall No 01-141,B,na,na,na
TAN KEE BOO,YR201140002,YISHUN RING RD BLK 105 Stall No 01-140,B,na,na,na
SEAH BOON SER,YR201139002,YISHUN RING RD BLK 105 Stall No 01-139,B,na,na,na
LEE AH YIN,YR201138003,YISHUN RING RD BLK 105 Stall No 01-138,B,na,na,na
LIM BEE CHOO,YR201137002,YISHUN RING RD BLK 105 Stall No 01-137,B,na,na,na
CHENG HUA TEE,YR201136002,YISHUN RING RD BLK 105 Stall No 01-136,A,na,na,na
FANG YI CHING,YR201135003,YISHUN RING RD BLK 105 Stall No 01-135,A,na,na,na
LEOW KWEE MENG,YR201134002,YISHUN RING RD BLK 105 Stall No 01-134,B,na,na,na
LOW YIN KOK,YR201133004,YISHUN RING RD BLK 105 Stall No 01-133,B,na,na,na
WANG XIANGHUA,YR201132002,YISHUN RING RD BLK 105 Stall No 01-132,B,na,na,na
TOH LEE MOI,YR201131002,YISHUN RING RD BLK 105 Stall No 01-131,B,na,na,na
LOW AH IN,YR201130002,YISHUN RING RD BLK 105 Stall No 01-130,B,na,na,na
LEO MENG KOK,YR201129003,YISHUN RING RD BLK 105 Stall No 01-129,B,na,na,na
YEW AH LENG,YR201128002,YISHUN RING RD BLK 105 Stall No 01-128,B,na,na,na
NG HIAP TECK,YR201127002,YISHUN RING RD BLK 105 Stall No 01-127,B,na,na,na
NG HER TIANG,YR201126002,YISHUN RING RD BLK 105 Stall No 01-126,B,na,na,na
CHEN RONGJI,YR201125004,YISHUN RING RD BLK 105 Stall No 01-125,B,na,na,na
SOH GEOK LAN,WE20180002,WEST COAST DRIVE BLK 503 Stall No 01-80,B,na,na,na
TAN HAI LING,WE20179002,WEST COAST DRIVE BLK 503 Stall No 01-79,A,na,na,na
DORIS KWEK,WE20178003,WEST COAST DRIVE BLK 503 Stall No 01-78,B,na,na,na
ZEENATH PARITHA D/O SYED IBRAHIM,WE20177002,WEST COAST DRIVE BLK 503 Stall No 01-77,B,na,na,na
TOH SWEE HOCK @RAHMAT TOH,WE20176002,WEST COAST DRIVE BLK 503 Stall No 01-76,B,na,na,na
NIZAM KHAN BIN ALI AKABAR KHAN,WE20175003,WEST COAST DRIVE BLK 503 Stall No 01-75,B,na,na,na
MATHINA BEEVI W/O SYED IBRAHIM,WE20174003,WEST COAST DRIVE BLK 503 Stall No 01-74,B,na,na,na
KURAISHA BEEVI W/O AKBAR ALI,WE20173002,WEST COAST DRIVE BLK 503 Stall No 01-73,B,na,na,na
AMAT BIN JANTAN,WE20172001,WEST COAST DRIVE BLK 503 Stall No 01-72,A,na,na,na
RAZOOL BEEVI,WE20171001,WEST COAST DRIVE BLK 503 Stall No 01-71,B,na,na,na
MOHAMED HUSSAN,WE20170002,WEST COAST DRIVE BLK 503 Stall No 01-70,B,na,na,na
ZAINAH BINTE MAHAMED @ ZAINAH BINTE MOHD KADIR,WE20169002,WEST COAST DRIVE BLK 503 Stall No 01-69,A,na,na,na
NAGORADIMAI,WE20168002,WEST COAST DRIVE BLK 503 Stall No 01-68,A,na,na,na
SAMSU BEEVI ABDUL AZIS,WE20167002,WEST COAST DRIVE BLK 503 Stall No 01-67,B,na,na,na
PATIMAH BTE SEMAIL,WE20165002,WEST COAST DRIVE BLK 503 Stall No 01-65,A,na,na,na
SYED IBRAHIM S/O SIKANDER BATCHA,WE20164001,WEST COAST DRIVE BLK 503 Stall No 01-64,B,na,na,na
ABDUL LATIF BIN YADALI,WE20163004,WEST COAST DRIVE BLK 503 Stall No 01-63,B,na,na,na
MANSOOR BEEVI,WE20162001,WEST COAST DRIVE BLK 503 Stall No 01-62,B,na,na,na
SHAIKKALI BANU D/O NAGORADIMAI,WE20161004,WEST COAST DRIVE BLK 503 Stall No 01-61,B,na,na,na
ABDUL RAHIM S/O MOHAMED NAINA,WE20160004,WEST COAST DRIVE BLK 503 Stall No 01-60,B,na,na,na
SEMI SAGI,WE20159002,WEST COAST DRIVE BLK 503 Stall No 01-59,B,na,na,na
RASHID KHAN BASARIA BEEVI,WE20158004,WEST COAST DRIVE BLK 503 Stall No 01-58,B,na,na,na
MOHAMED NOORU MOHAMED SUNAIDU,WE20157002,WEST COAST DRIVE BLK 503 Stall No 01-57,B,na,na,na
AKBER ALI,WE20156002,WEST COAST DRIVE BLK 503 Stall No 01-56,B,na,na,na
SAIBUDEEN,WE20155001,WEST COAST DRIVE BLK 503 Stall No 01-55,B,na,na,na
ALI BIN M T P IBRAHIM,WE20154002,WEST COAST DRIVE BLK 503 Stall No 01-54,B,na,na,na
EL HASSAN BENNAJIM,WE20153002,WEST COAST DRIVE BLK 503 Stall No 01-53,B,na,na,na
NORIJAH BINTE LEMAN,WE20152002,WEST COAST DRIVE BLK 503 Stall No 01-52,B,na,na,na
THARUL BEGAM MOHAMED GANI,WE20151002,WEST COAST DRIVE BLK 503 Stall No 01-51,B,na,na,na
ABDUL KALAM AZAD AINUL ARABIA,WE20150002,WEST COAST DRIVE BLK 503 Stall No 01-50,B,na,na,na
RASINA BANU,WE20149002,WEST COAST DRIVE BLK 503 Stall No 01-49,B,na,na,na
SADETTAN SIRIWAN,WE20147002,WEST COAST DRIVE BLK 503 Stall No 01-47,B,na,na,na
TAN LAY PENG,WE20146001,WEST COAST DRIVE BLK 503 Stall No 01-46,B,na,na,na
LAU CHONG FU,WE20145002,WEST COAST DRIVE BLK 503 Stall No 01-45,C,na,na,na
CHENG CHONG WOON (CHEN ZHONGWEN),WE20144005,WEST COAST DRIVE BLK 503 Stall No 01-44,B,na,na,na
TEO BEE BEE,WE20143004,WEST COAST DRIVE BLK 503 Stall No 01-43,B,na,na,na
HAYATI,WE20142002,WEST COAST DRIVE BLK 503 Stall No 01-42,B,na,na,na
LIM PENG CHONG,WE20141003,WEST COAST DRIVE BLK 503 Stall No 01-41,A,na,na,na
LIM SEA CHEOON,WE20140002,WEST COAST DRIVE BLK 503 Stall No 01-40,B,na,na,na
CHEOW AH SENG,WE20138002,WEST COAST DRIVE BLK 503 Stall No 01-38,B,na,na,na
TOH HOCK KHEE,WE20137003,WEST COAST DRIVE BLK 503 Stall No 01-37,A,na,na,na
TAN HAI LING,WE20136003,WEST COAST DRIVE BLK 503 Stall No 01-36,A,na,na,na
TAN CHIN NAM,WE20135002,WEST COAST DRIVE BLK 503 Stall No 01-35,B,na,na,na
MUN WOON HO,WE20134001,WEST COAST DRIVE BLK 503 Stall No 01-34,A,na,na,na
TAN BOO HEW,WE20132003,WEST COAST DRIVE BLK 503 Stall No 01-32,B,na,na,na
TAN KIM SOO,WE20131003,WEST COAST DRIVE BLK 503 Stall No 01-31,B,na,na,na
LEE KOON TIAH @LEE AH KOON,WE20130001,WEST COAST DRIVE BLK 503 Stall No 01-30,B,na,na,na
JUNAIDAH BINTI AMIN,WE20129002,WEST COAST DRIVE BLK 503 Stall No 01-29,B,na,na,na
HANNA LIM MEI LING,WE20128003,WEST COAST DRIVE BLK 503 Stall No 01-28,B,na,na,na
GOH MENG CHOO,WE20127002,WEST COAST DRIVE BLK 503 Stall No 01-27,C,na,na,na
LIM POH GEK,WE20126004,WEST COAST DRIVE BLK 503 Stall No 01-26,B,na,na,na
KOH HONG LAN,WE20125002,WEST COAST DRIVE BLK 503 Stall No 01-25,B,na,na,na
ONG LAY HUA,WE20124002,WEST COAST DRIVE BLK 503 Stall No 01-24,C,na,na,na
NORATASHA SARI BINTE MOHD ISA,WE20123003,WEST COAST DRIVE BLK 503 Stall No 01-23,B,na,na,na
NG CHU KIM,WE20122003,WEST COAST DRIVE BLK 503 Stall No 01-22,B,na,na,na
UMMUL FARIDA ESOOF,WE20121002,WEST COAST DRIVE BLK 503 Stall No 01-21,B,na,na,na
GAN TIAP,WE20120002,WEST COAST DRIVE BLK 503 Stall No 01-20,B,na,na,na
TAN MEE HUAY,WE20119003,WEST COAST DRIVE BLK 503 Stall No 01-19,B,na,na,na
ANG SIAM NGO,WE20118004,WEST COAST DRIVE BLK 503 Stall No 01-18,A,na,na,na
CHAN KWANG,WE20117003,WEST COAST DRIVE BLK 503 Stall No 01-17,B,na,na,na
NG HOCK SENG,WE20116002,WEST COAST DRIVE BLK 503 Stall No 01-16,B,na,na,na
NG LEH HONG,WE20115002,WEST COAST DRIVE BLK 503 Stall No 01-15,B,na,na,na
ONG KOK PENG (WANG GUOPING),WE20114003,WEST COAST DRIVE BLK 503 Stall No 01-14,B,na,na,na
TAY SIEW CHOO,WE20113002,WEST COAST DRIVE BLK 503 Stall No 01-13,B,na,na,na
WU SHUIRONG,WE20112002,WEST COAST DRIVE BLK 503 Stall No 01-12,B,na,na,na
KOH JIN SAN,WE20111001,WEST COAST DRIVE BLK 503 Stall No 01-11,B,na,na,na
ANG MARY,WE20110002,WEST COAST DRIVE BLK 503 Stall No 01-10,B,na,na,na
ONG KIM HUAT (WANG JINFA),WE20109002,WEST COAST DRIVE BLK 503 Stall No 01-09,B,na,na,na
CHEW CHONG HENG,WE20108002,WEST COAST DRIVE BLK 503 Stall No 01-08,B,na,na,na
QUAH LEE HUANG,WE20107002,WEST COAST DRIVE BLK 503 Stall No 01-07,B,na,na,na
SHING KIN HONG,WE20106002,WEST COAST DRIVE BLK 503 Stall No 01-06,A,na,na,na
BOON AI LI (WEN AILI),WE20105002,WEST COAST DRIVE BLK 503 Stall No 01-05,B,na,na,na
WONG YONG CHIANG (HUANG YONGQIANG),WE20104001,WEST COAST DRIVE BLK 503 Stall No 01-04,B,na,na,na
TJUNG A LEN,WE20103004,WEST COAST DRIVE BLK 503 Stall No 01-03,B,na,na,na
HENG SUAY MOY,WE20102002,WEST COAST DRIVE BLK 503 Stall No 01-02,B,na,na,na
NEO THIAM KIAT,WE20101003,WEST COAST DRIVE BLK 503 Stall No 01-01,B,na,na,na
YAP KWEE CHOON,WD20152003,WHAMPOA DRIVE BLK 91 Stall No 01-52,B,na,na,na
SOH SER LIAN,WD20151002,WHAMPOA DRIVE BLK 91 Stall No 01-51,A,na,na,na
LOY SAI HONG,WD20150003,WHAMPOA DRIVE BLK 91 Stall No 01-50,A,na,na,na
LOY SAI HONG,WD20149002,WHAMPOA DRIVE BLK 91 Stall No 01-49,A,na,na,na
HU BOON LEONG,WD20148002,WHAMPOA DRIVE BLK 91 Stall No 01-48,A,na,na,na
SOH HE PHENG,WD20147002,WHAMPOA DRIVE BLK 91 Stall No 01-47,A,na,na,na
HENG KWONG BENG,WD20146001,WHAMPOA DRIVE BLK 91 Stall No 01-46,B,na,na,na
CHUA GER HIANG,WD20145002,WHAMPOA DRIVE BLK 91 Stall No 01-45,A,na,na,na
KWEK POH TECK,WD20144004,WHAMPOA DRIVE BLK 91 Stall No 01-44,A,na,na,na
CHIA SWEE LAN,WD20143002,WHAMPOA DRIVE BLK 91 Stall No 01-43,B,na,na,na
TAY TECK HEE (ZHENG DEXI),WD20142002,WHAMPOA DRIVE BLK 91 Stall No 01-42,B,na,na,na
SHEE AH SIN @SHEE POON HWA,WD20141002,WHAMPOA DRIVE BLK 91 Stall No 01-41,A,na,na,na
TAN HANG MENG,WD20140003,WHAMPOA DRIVE BLK 91 Stall No 01-40,B,na,na,na
LEE BEE CHOW,WD20139003,WHAMPOA DRIVE BLK 91 Stall No 01-39,A,na,na,na
TAN AH TUA,WD20138002,WHAMPOA DRIVE BLK 91 Stall No 01-38,A,na,na,na
TAN AH JEE,WD20137002,WHAMPOA DRIVE BLK 91 Stall No 01-37,A,na,na,na
LIM MOH YIOW,WD20136002,WHAMPOA DRIVE BLK 91 Stall No 01-36,A,na,na,na
GOH KIA HEE,WD20135002,WHAMPOA DRIVE BLK 91 Stall No 01-35,A,na,na,na
TAY TECK HEE (ZHENG DEXI),WD20134002,WHAMPOA DRIVE BLK 91 Stall No 01-34,A,na,na,na
MARIA,WD20133002,WHAMPOA DRIVE BLK 91 Stall No 01-33,A,na,na,na
WONG CHONG WEE,WD20132002,WHAMPOA DRIVE BLK 91 Stall No 01-32,B,na,na,na
TAN KIM KEOW,WD20131002,WHAMPOA DRIVE BLK 91 Stall No 01-31,A,na,na,na
ONG KIAN SANG,WD20130002,WHAMPOA DRIVE BLK 91 Stall No 01-30,A,na,na,na
SIM HUI TSIR,WD20129002,WHAMPOA DRIVE BLK 91 Stall No 01-29,A,na,na,na
TAN AH THOO,WD20128002,WHAMPOA DRIVE BLK 91 Stall No 01-28,A,na,na,na
ROHAYA BT ROSE,WD20127002,WHAMPOA DRIVE BLK 91 Stall No 01-27,B,na,na,na
TAN WHEE HONG,WD20126002,WHAMPOA DRIVE BLK 91 Stall No 01-26,B,na,na,na
TAN KOON HUA,WD20125003,WHAMPOA DRIVE BLK 91 Stall No 01-25,A,na,na,na
NG KOK HWA (HUANG GUOHUA),WD20124001,WHAMPOA DRIVE BLK 91 Stall No 01-24,A,na,na,na
THIA HENG CHOK,WD20123002,WHAMPOA DRIVE BLK 91 Stall No 01-23,B,na,na,na
YAP KWEE CHOON,WD20122006,WHAMPOA DRIVE BLK 91 Stall No 01-22,A,na,na,na
KWONG KUM YEOW,WD20121002,WHAMPOA DRIVE BLK 91 Stall No 01-21,B,na,na,na
CHEE YIN KUM,WD20120003,WHAMPOA DRIVE BLK 91 Stall No 01-20,A,na,na,na
GOH HUNG POR,WD20119002,WHAMPOA DRIVE BLK 91 Stall No 01-19,A,na,na,na
FAUZIAH BTE JAN,WD20118001,WHAMPOA DRIVE BLK 91 Stall No 01-18,A,na,na,na
TAN SER KHIN,WD20117002,WHAMPOA DRIVE BLK 91 Stall No 01-17,B,na,na,na
CHOOK LAI KUEN,WD20116002,WHAMPOA DRIVE BLK 91 Stall No 01-16,B,na,na,na
NG SIEW KIM,WD20115002,WHAMPOA DRIVE BLK 91 Stall No 01-15,B,na,na,na
NG TIAM SENG,WD20114002,WHAMPOA DRIVE BLK 91 Stall No 01-14,B,na,na,na
ONG CHOW HIN,WD20113001,WHAMPOA DRIVE BLK 91 Stall No 01-13,B,na,na,na
LOW CHONG MOY,WD20112002,WHAMPOA DRIVE BLK 91 Stall No 01-12,A,na,na,na
KOH BUI YOKE,WD20111002,WHAMPOA DRIVE BLK 91 Stall No 01-11,B,na,na,na
CHONG SOON FOH,WD20110001,WHAMPOA DRIVE BLK 91 Stall No 01-10,B,na,na,na
SOH GUAN WHATT,WD20109002,WHAMPOA DRIVE BLK 91 Stall No 01-09,B,na,na,na
TAN SIAN POH,WD20108002,WHAMPOA DRIVE BLK 91 Stall No 01-08,A,na,na,na
LIM CHOON YONG,WD20107002,WHAMPOA DRIVE BLK 91 Stall No 01-07,B,na,na,na
QUEK SIOW HWEE,WD20106002,WHAMPOA DRIVE BLK 91 Stall No 01-06,A,na,na,na
GOEI HENG CHUA,WD20105003,WHAMPOA DRIVE BLK 91 Stall No 01-05,B,na,na,na
CHOW WONG PENG,WD20104002,WHAMPOA DRIVE BLK 91 Stall No 01-04,A,na,na,na
QUEK CHER KHENG,WD20103003,WHAMPOA DRIVE BLK 91 Stall No 01-03,B,na,na,na
LIAU CHIEW BOK,WD20102002,WHAMPOA DRIVE BLK 91 Stall No 01-02,A,na,na,na
NG BAN SENG (HUANG WANCHENG),WD20101003,WHAMPOA DRIVE BLK 91 Stall No 01-01,A,na,na,na
TAY LAY HOON,WD10189002,WHAMPOA DRIVE BLK 90 Stall No 01-89,A,na,na,na
HO KOON PIN,WD10188002,WHAMPOA DRIVE BLK 90 Stall No 01-88,A,na,na,na
CHEUNG SIM,WD10187002,WHAMPOA DRIVE BLK 90 Stall No 01-87,A,na,na,na
LIANG QIGUANG @ WONG SEH KONG,WD10186002,WHAMPOA DRIVE BLK 90 Stall No 01-86,B,na,na,na
CHIA GUAN CHOON,WD10185002,WHAMPOA DRIVE BLK 90 Stall No 01-85,B,na,na,na
CHOIO GEK CHONG,WD10184002,WHAMPOA DRIVE BLK 90 Stall No 01-84,A,na,na,na
TAN TEEN ON,WD10183002,WHAMPOA DRIVE BLK 90 Stall No 01-83,B,na,na,na
LOW GEK HEOK,WD10182002,WHAMPOA DRIVE BLK 90 Stall No 01-82,B,na,na,na
HE HONGYING,WD10181002,WHAMPOA DRIVE BLK 90 Stall No 01-81,B,na,na,na
TAN KIM HAI,WD10180002,WHAMPOA DRIVE BLK 90 Stall No 01-80,B,na,na,na
MRS CHANTARA LAI,WD10179002,WHAMPOA DRIVE BLK 90 Stall No 01-79,B,na,na,na
LOW QUAY BOON,WD10178002,WHAMPOA DRIVE BLK 90 Stall No 01-78,B,na,na,na
TAN CHIANG HEE,WD10177002,WHAMPOA DRIVE BLK 90 Stall No 01-77,B,na,na,na
KOH KIA HIOK,WD10176001,WHAMPOA DRIVE BLK 90 Stall No 01-76,A,na,na,na
YOU MINSHUI,WD10175002,WHAMPOA DRIVE BLK 90 Stall No 01-75,A,na,na,na
CHUA GEK HWA,WD10174001,WHAMPOA DRIVE BLK 90 Stall No 01-74,A,na,na,na
MUSA BIN MOHAMMED,WD10173001,WHAMPOA DRIVE BLK 90 Stall No 01-73,B,na,na,na
TEH CHOON SHAN,WD10172003,WHAMPOA DRIVE BLK 90 Stall No 01-72,B,na,na,na
TAY KENG HENG,WD10171002,WHAMPOA DRIVE BLK 90 Stall No 01-71,A,na,na,na
BAO JIE,WD10170002,WHAMPOA DRIVE BLK 90 Stall No 01-70,B,0,na,na
TOH LAI SEOK,WD10169003,WHAMPOA DRIVE BLK 90 Stall No 01-69,A,na,na,na
ANG WHI CHENG,WD10168002,WHAMPOA DRIVE BLK 90 Stall No 01-68,B,na,na,na
CHUA LAI WAT,WD10167002,WHAMPOA DRIVE BLK 90 Stall No 01-67,B,na,na,na
THIE DIAN TIE,WD10166003,WHAMPOA DRIVE BLK 90 Stall No 01-66,A,na,na,na
TAN KAH HIANG,WD10165003,WHAMPOA DRIVE BLK 90 Stall No 01-65,B,na,na,na
HO AH YING,WD10164002,WHAMPOA DRIVE BLK 90 Stall No 01-64,B,na,na,na
MAH CHOR YAM,WD10163002,WHAMPOA DRIVE BLK 90 Stall No 01-63,A,na,na,na
CHIONH GEOK WAH,WD10162002,WHAMPOA DRIVE BLK 90 Stall No 01-62,B,na,na,na
KWOK SEE KUANG,WD10161002,WHAMPOA DRIVE BLK 90 Stall No 01-61,A,na,na,na
TEO CHENG KWANG,WD10160002,WHAMPOA DRIVE BLK 90 Stall No 01-60,B,na,na,na
TAN BOON KIANG,WD10159002,WHAMPOA DRIVE BLK 90 Stall No 01-59,B,na,na,na
LIM KIA ENG,WD10158002,WHAMPOA DRIVE BLK 90 Stall No 01-58,B,na,na,na
TAY LAY HOON,WD10157003,WHAMPOA DRIVE BLK 90 Stall No 01-57,A,na,na,na
YEO CHENG HUAT,WD10156002,WHAMPOA DRIVE BLK 90 Stall No 01-56,B,na,na,na
LEE GER HUAY,WD10155002,WHAMPOA DRIVE BLK 90 Stall No 01-55,A,na,na,na
TAN KIM HOCK,WD10154002,WHAMPOA DRIVE BLK 90 Stall No 01-54,A,na,na,na
TAN AH LYU,WD10153002,WHAMPOA DRIVE BLK 90 Stall No 01-53,B,na,na,na
TAN BEE HWA,WD10152002,WHAMPOA DRIVE BLK 90 Stall No 01-52,B,na,na,na
TAN HANG PHONG,WD10151002,WHAMPOA DRIVE BLK 90 Stall No 01-51,A,na,na,na
NG MUI KHING,WD10150002,WHAMPOA DRIVE BLK 90 Stall No 01-50,A,na,na,na
CHEN SHAOZHEN,WD10143002,WHAMPOA DRIVE BLK 90 Stall No 01-43,B,na,na,na
TANG JAG LIN,WD10142002,WHAMPOA DRIVE BLK 90 Stall No 01-42,A,na,na,na
LIM LAI HUAT @ TAY LAY HUAK,WD10141002,WHAMPOA DRIVE BLK 90 Stall No 01-41,B,na,na,na
HUANG YAN,WD10140001,WHAMPOA DRIVE BLK 90 Stall No 01-40,B,na,na,na
ONG PENG SUAR,WD10139002,WHAMPOA DRIVE BLK 90 Stall No 01-39,B,na,na,na
